01	5.7	1.4	3.6
02	19.8	0.0	9.9
03	21.6	-1.5	10.1
04	20.7	1.3	11.0
05	18.8	6.7	12.8
06	23.6	7.1	15.4
07	31.6	9.4	20.5
08	20.7	7.6	14.2
09	17.7	-2.1	7.8
10	11.2	-8.5	1.4
11	15.2	-4.0	5.6
12	23.0	0.0	11.5
13	28.1	10.7	19.4
14	LegendM	M	1.8
15	LegendM	M	LegendM
16	18.8	6.7	12.8
17	15.4	7.6	11.5
18	9.4	2.0	5.7
19	20.7	-1.0	9.8
20	26.8	1.4	14.1
21	27.3	6.6	17.0
22	29.3	11.4	20.3
23	31.5	14.3	22.9
24	32.6	15.3	24.0
25	31.7	13.5	22.6
26	26.0	11.8	18.9
27	29.2	13.5	21.4
28	27.7	10.6	19.1
29	LegendM	M	LegendM
30	LegendM	M	LegendM
31	LegendM	M	LegendM
