2024-12-01: {'Max': -15.3, 'Min': -12.1, 'Mean': 30.1}
2024-12-02: {'Max': -18.3, 'Min': -13.7, 'Mean': 31.7}
2024-12-03: {'Max': -13.4, 'Min': -7.4, 'Mean': 25.4}
2024-11-01: {'Max': -0.3, 'Min': 3.9, 'Mean': 14.1}
2024-11-02: {'Max': -4.5, 'Min': 2.5, 'Mean': 15.5}
2024-11-03: {'Max': 4.1, 'Min': 6.7, 'Mean': 11.3}
2024-11-04: {'Max': -1.1, 'Min': 3.0, 'Mean': 15.0}
2024-11-05: {'Max': -4.7, 'Min': 0.1, 'Mean': 17.9}
2024-11-06: {'Max': -5.4, 'Min': -0.8, 'Mean': 18.8}
2024-11-07: {'Max': -0.8, 'Min': 5.6, 'Mean': 12.4}
2024-11-08: {'Max': -4.2, 'Min': 2.7, 'Mean': 15.3}
2024-11-09: {'Max': 0.0, 'Min': 6.4, 'Mean': 11.6}
2024-11-10: {'Max': -2.7, 'Min': 3.7, 'Mean': 14.3}
2024-11-11: {'Max': -1.7, 'Min': 1.4, 'Mean': 16.6}
2024-11-12: {'Max': 0.6, 'Min': 4.3, 'Mean': 13.7}
2024-11-13: {'Max': -2.2, 'Min': 2.3, 'Mean': 15.7}
2024-11-14: {'Max': 1.9, 'Min': 3.9, 'Mean': 14.1}
2024-11-15: {'Max': 0.1, 'Min': 4.5, 'Mean': 13.5}
2024-11-16: {'Max': 1.6, 'Min': 4.1, 'Mean': 13.9}
2024-11-17: {'Max': -1.2, 'Min': 2.4, 'Mean': 15.6}
2024-11-18: {'Max': -3.5, 'Min': 1.1, 'Mean': 16.9}
2024-11-19: {'Max': 1.6, 'Min': 3.6, 'Mean': 14.4}
2024-11-20: {'Max': -0.7, 'Min': 1.2, 'Mean': 16.8}
2024-11-21: {'Max': -5.2, 'Min': -3.0, 'Mean': 21.0}
2024-11-22: {'Max': -9.2, 'Min': -6.6, 'Mean': 24.6}
2024-11-23: {'Max': -9.2, 'Min': -7.5, 'Mean': 25.5}
2024-11-24: {'Max': -6.3, 'Min': -4.3, 'Mean': 22.3}
2024-11-25: {'Max': -11.6, 'Min': -8.8, 'Mean': 26.8}
2024-11-26: {'Max': -8.3, 'Min': -7.0, 'Mean': 25.0}
2024-11-27: {'Max': -8.7, 'Min': -7.2, 'Mean': 25.2}
2024-11-28: {'Max': -12.4, 'Min': -10.5, 'Mean': 28.5}
2024-11-29: {'Max': -20.3, 'Min': -16.3, 'Mean': 34.3}
2024-11-30: {'Max': -21.1, 'Min': -16.5, 'Mean': 34.5}
